Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 08/08  21:00:00,506927040.9290635,506927040.9290637,142076548.99414307,38252418.149386905,164823601.124626 
 08/08  22:00:00,460258416.7589413,460258416.7589421,111697945.9674912,24954266.576836366,134031278.26953766 
 08/08  23:00:00,419602397.0389596,419602397.03896046,80336240.79914403,15645560.66407668,104912987.04695597 
 08/08  24:00:00,378744896.28872323,378744896.28872395,29404584.0,11656115.239317864,79472635.82437395 
 08/09  01:00:00,365170422.9821898,365170422.9821907,29404584.0,11656115.239317864,72776509.29434878 
 08/09  02:00:00,358790458.83482385,358790458.8348246,29404584.0,11656115.239317864,69428446.02933633 
 08/09  03:00:00,347220686.76957464,347220686.7695755,29404584.0,11656115.239317864,67754414.39683005 
 08/09  04:00:00,351379948.1657535,351379948.1657544,29404584.0,16975375.727318894,71432354.39683005 
 08/09  05:00:00,378342872.1809078,378342872.1809086,29404584.0,26284081.875110786,87158392.55936149 
 08/09  06:00:00,407870295.3019037,407870295.3019047,155972125.93716314,27613896.938352972,120284500.51693058 
 08/09  07:00:00,420007248.44109887,420007248.44109964,223566844.5993123,26284081.875110786,146293383.9335011 
 08/09  08:00:00,416778942.3431101,416778942.34311104,220798871.1391315,18466671.234855436,149227177.34515285 
 08/09  09:00:00,413639015.11147237,413639015.11147326,212580682.71003723,15807040.873338813,139867388.97765952 
 08/09  10:00:00,411605337.09554434,411605337.0955454,171878472.6381898,15807040.873338813,128503692.2426721 
 08/09  11:00:00,416280878.60518265,416280878.60518336,132124143.90082186,15807040.873338813,130177723.87517832 
 08/09  12:00:00,414859686.083159,414859686.0831599,126673357.51829708,15590730.651414875,128385990.86668785 
 08/09  13:00:00,409555159.08277225,409555159.0827731,110107648.5023008,15807040.873338813,123481597.34515285 
 08/09  14:00:00,409132863.35151815,409132863.351519,82158701.27253231,15807040.873338813,121807565.71264665 
 08/09  15:00:00,424957595.90988123,424957595.90988207,110023404.4749737,19796486.53312959,126829660.61016576 
 08/09  16:00:00,474183840.0948921,474183840.0948931,139725115.2232291,29105192.44588942,161629800.20024115 
 08/09  17:00:00,524917378.2997965,524917378.29979247,148176457.12128884,35592787.787870474,204884491.0712216 
 08/09  18:00:00,533431776.271703,533431776.2716988,211871458.53969833,44901493.93566237,204645835.6122203 
 08/09  19:00:00,518261926.4773865,518261926.47738254,180808061.88935044,51550569.72193773,185571734.18467608 
 08/09  20:00:00,535242333.6157508,535242333.61574686,177111727.6688901,51550569.72193773,178875607.65465096 
 08/09  21:00:00,503023673.1392378,503023673.1392382,142066027.7739286,38252418.149386905,164823601.124626 
 08/09  22:00:00,452733380.93845975,452733380.9384605,111694757.9452416,24954266.576836366,134031278.26953766 
 08/09  23:00:00,405484340.75254965,405484340.7525505,80378721.99198851,15645560.66407668,104912987.04695597 
 08/09  24:00:00,362411896.3676273,362411896.3676281,29404584.0,11656115.239317864,79472635.82437395 
 08/10  01:00:00,345712498.215153,345712498.2151538,29404584.0,11656115.239317864,72776509.29434878 
 08/10  02:00:00,338013282.6118152,338013282.6118161,29404584.0,11656115.239317864,69428446.02933633 
 08/10  03:00:00,334094328.1477884,334094328.1477892,29404584.0,11656115.239317864,67754414.39683005 
 08/10  04:00:00,343306562.80719715,343306562.807198,29404584.0,16975375.727318894,71432354.39683005 
 08/10  05:00:00,375300028.86952555,375300028.8695264,29404584.0,26284081.875110786,87158392.55936149 
 08/10  06:00:00,410475054.97752035,410475054.9775212,155958438.3219531,27613896.938352972,120284500.51693058 
 08/10  07:00:00,417737721.86170936,417737721.86171037,223544780.12608913,26284081.875110786,146293383.9335011 
 08/10  08:00:00,412555937.6929163,412555937.69291735,220778480.4966423,18466671.234855436,149227177.34515285 
 08/10  09:00:00,407318945.9782841,407318945.9782851,212567574.3525521,15807040.873338813,139867388.97765952 
 08/10  10:00:00,410564624.14748394,410564624.14748484,165389721.86199248,15807040.873338813,128503692.2426721 
 08/10  11:00:00,418427408.4177064,418427408.4177072,131722662.52004224,15807040.873338813,130177723.87517832 
 08/10  12:00:00,417125280.0077048,417125280.00770557,133072133.24439052,15590730.651414875,128385990.86668785 
 08/10  13:00:00,411609102.43798614,411609102.4379868,110109554.14608493,15807040.873338813,123481597.34515285 
 08/10  14:00:00,410614543.8360932,410614543.83609414,82164371.10015774,15807040.873338813,121807565.71264665 
 08/10  15:00:00,421536800.2564249,421536800.2564259,110018154.41487679,19796486.53312959,126829660.61016576 
 08/10  16:00:00,470357191.4504436,470357191.4504445,139721916.67749143,29105192.44588942,161629800.20024115 
 08/10  17:00:00,523652186.0457579,523652186.0457537,146573421.81836843,35592787.787870474,204884491.0712216 
 08/10  18:00:00,530235738.21205497,530235738.2120511,213526159.66091084,44901493.93566237,204645835.6122203 
 08/10  19:00:00,516623406.10214067,516623406.10213673,180801310.27387056,51550569.72193773,185571734.18467608 
 08/10  20:00:00,533863824.77409,533863824.7740862,177105865.40935326,51550569.72193773,178875607.65465096 
 08/10  21:00:00,498183167.1188924,498183167.1188932,142057684.02265096,38252418.149386905,164823601.124626 
 08/10  22:00:00,442956737.9988651,442956737.9988661,111684763.85449575,24954266.576836366,134031278.26953766 
 08/10  23:00:00,394025992.28488207,394025992.28488296,80408699.25558609,15645560.66407668,104912987.04695597 
 08/10  24:00:00,353608268.648311,353608268.6483118,29404584.0,11656115.239317864,79472635.82437395 
 08/11  01:00:00,341615076.3251734,341615076.3251743,29404584.0,11656115.239317864,72776509.29434878 
 08/11  02:00:00,332360171.4170698,332360171.41707075,29404584.0,11656115.239317864,69428446.02933633 
 08/11  03:00:00,323284861.2137191,323284861.21372,29404584.0,11656115.239317864,67754414.39683005 
 08/11  04:00:00,330952107.6468377,330952107.6468385,29404584.0,16975375.727318894,71432354.39683005 
 08/11  05:00:00,359961811.0739761,359961811.0739769,29404584.0,26284081.875110786,87158392.55936149 
 08/11  06:00:00,398488930.31124663,398488930.31124747,155947683.93688458,27613896.938352972,120284500.51693058 
 08/11  07:00:00,416234619.17804474,416234619.17804563,223527400.32932898,26284081.875110786,146293383.9335011 
 08/11  08:00:00,420019293.068015,420019293.068016,220762399.09371847,18466671.234855436,149227177.34515285 
 08/11  09:00:00,417231685.98037773,417231685.9803786,212555630.47573,15807040.873338813,139867388.97765952 
 08/11  10:00:00,417206888.6516124,417206888.6516133,160517914.9596699,15807040.873338813,128503692.2426721 
 08/11  11:00:00,423223027.9599804,423223027.9599814,131402119.12508842,15807040.873338813,130177723.87517832 
 08/11  12:00:00,423333255.3429154,423333255.34291625,137896529.73056722,15590730.651414875,128385990.86668785 
 08/11  13:00:00,419905883.6001446,419905883.6001455,110110825.93905964,15807040.873338813,123481597.34515285 
 08/11  14:00:00,418950297.7373074,418950297.73730844,82168503.39925356,15807040.873338813,121807565.71264665 
 08/11  15:00:00,429517181.7993941,429517181.79939497,110018894.35354689,19796486.53312959,126829660.61016576 
 08/11  16:00:00,477815576.55748534,477815576.5574862,139719488.60023037,29105192.44588942,161629800.20024115 
 08/11  17:00:00,529536028.30832946,529536028.3083254,146563985.74346462,35592787.787870474,204884491.0712216 
 08/11  18:00:00,536286450.8451738,536286450.8451698,213519722.90423518,44901493.93566237,204645835.6122203 
 08/11  19:00:00,523812507.4077276,523812507.4077237,180797127.8056217,51550569.72193773,185571734.18467608 
 08/11  20:00:00,540690988.4053577,540690988.4053538,177102682.33700997,51550569.72193773,178875607.65465096 
 08/11  21:00:00,505924019.84521675,505924019.845217,142051298.9638448,38252418.149386905,164823601.124626 
 08/11  22:00:00,456117941.75842655,456117941.75842714,111679001.47443509,24954266.576836366,134031278.26953766 
 08/11  23:00:00,408073354.8532866,408073354.85328734,80429332.04510182,15645560.66407668,104912987.04695597 
 08/11  24:00:00,365638386.46784747,365638386.46784836,29404584.0,11656115.239317864,79472635.82437395 
 08/12  01:00:00,351840728.88159096,351840728.8815919,29404584.0,11656115.239317864,72776509.29434878 
 08/12  02:00:00,344758086.8930663,344758086.89306694,29404584.0,11656115.239317864,69428446.02933633 
 08/12  03:00:00,339555787.9490023,339555787.9490031,29404584.0,11656115.239317864,67754414.39683005 
 08/12  04:00:00,345171130.9482104,345171130.9482113,29404584.0,16975375.727318894,71432354.39683005 
 08/12  05:00:00,374193787.4812072,374193787.48120797,29404584.0,26284081.875110786,87158392.55936149 
 08/12  06:00:00,408137657.8354036,408137657.83540446,155939665.29172215,27613896.938352972,120284500.51693058 
 08/12  07:00:00,417260421.99666214,417260421.996663,223514419.720518,26284081.875110786,146054728.47449982 
 08/12  08:00:00,408260342.36800796,408260342.36800885,220750377.61756265,16975375.727318894,147728760.107006 
 08/12  09:00:00,401886078.88904214,401886078.88904303,209865239.18115887,14315745.365802372,138368971.73951268 
 08/12  10:00:00,404024159.7729281,404024159.77292883,159985736.72500437,14315745.365802372,127005275.00452524 
 08/12  11:00:00,414835256.607108,414835256.60710907,133155968.26811592,14315745.365802372,128679306.63703147 
 08/12  12:00:00,413683077.5282778,413683077.52827865,139087612.36595905,14315745.365802372,127005275.00452524 
 08/12  13:00:00,405408745.90361744,405408745.9036182,110110311.4564659,14315745.365802372,121983180.10700601 
 08/12  14:00:00,404003641.32526344,404003641.32526433,82171466.6823296,14315745.365802372,120309148.4744998 
 08/12  15:00:00,420722351.35652715,420722351.35652804,110019422.36352287,18305191.025593143,125331243.3720189 
 08/12  16:00:00,475529632.0631643,475529632.0631653,139717622.78937155,27613896.938352972,160131382.9620943 
 08/12  17:00:00,528565454.3805042,528565454.3805001,146556945.0881633,35592787.787870474,204645835.6122203 
 08/12  18:00:00,534527110.2976966,534527110.29769266,213515350.5367725,44901493.93566237,204645835.6122203 
 08/12  19:00:00,519115017.4844239,519115017.48442006,180792070.97461712,51550569.72193773,185571734.18467608 
 08/12  20:00:00,536128008.5896189,536128008.589615,177101306.33308202,51550569.72193773,178875607.65465096 
 08/12  21:00:00,503653893.947995,503653893.94799566,142046519.7271485,38252418.149386905,164823601.124626 
 08/12  22:00:00,461632863.5371433,461632863.5371441,111677048.40633947,24954266.576836366,134031278.26953766 
 08/12  23:00:00,419738811.4073041,419738811.407305,80444139.73718818,15645560.66407668,104912987.04695597 
 08/12  24:00:00,366085355.655648,366085355.6556489,29404584.0,11656115.239317864,79472635.82437395 
 08/13  01:00:00,346256670.28689224,346256670.2868931,29404584.0,11656115.239317864,72776509.29434878 
 08/13  02:00:00,340610817.727863,340610817.72786385,29404584.0,11656115.239317864,69428446.02933633 
 08/13  03:00:00,332278841.03215575,332278841.03215665,29404584.0,11656115.239317864,67754414.39683005 
 08/13  04:00:00,339711716.9227251,339711716.92272604,29404584.0,16975375.727318894,71432354.39683005 
 08/13  05:00:00,371178222.46605146,371178222.4660523,29404584.0,26284081.875110786,87158392.55936149 
 08/13  06:00:00,405400445.07563984,405400445.0756408,155934072.47460473,27613896.938352972,120284500.51693058 
 08/13  07:00:00,421374146.1458999,421374146.1459007,223505384.96381935,26284081.875110786,146054728.47449982 
 08/13  08:00:00,418307600.44121397,418307600.4412148,220742018.46391216,16975375.727318894,147728760.107006 
 08/13  09:00:00,411225704.76819885,411225704.7681998,207657259.91229475,14315745.365802372,138368971.73951268 
 08/13  10:00:00,413217873.87954575,413217873.87954646,159881911.2130338,14315745.365802372,127005275.00452524 
 08/13  11:00:00,425971315.2921685,425971315.2921694,135284018.53523764,14315745.365802372,128679306.63703147 
 08/13  12:00:00,421686761.00824124,421686761.00824213,139086796.64141622,14315745.365802372,127005275.00452524 
 08/13  13:00:00,418635125.744092,418635125.74409306,110101544.47056651,14315745.365802372,121983180.10700601 
 08/13  14:00:00,423315404.2023097,423315404.20231056,82173714.50096107,14315745.365802372,120309148.4744998 
 08/13  15:00:00,425864548.4756271,425864548.4756279,110019903.46438636,18305191.025593143,125331243.3720189 
 08/13  16:00:00,468481407.9310174,468481407.9310183,139716386.2359402,27613896.938352972,160131382.9620943 
 08/13  17:00:00,522705372.8859948,522705372.8859909,146551952.5138776,35592787.787870474,204645835.6122203 
 08/13  18:00:00,525063419.5974292,525063419.5974252,213512867.5309578,44901493.93566237,204645835.6122203 
 08/13  19:00:00,510099271.4852946,510099271.48529065,180786924.6996551,51550569.72193773,185571734.18467608 
 08/13  20:00:00,517271876.80771905,517271876.80771524,177101222.2594332,51550569.72193773,178875607.65465096 
 08/13  21:00:00,483785415.0787362,483785415.0787369,142043167.7565401,38252418.149386905,164823601.124626 
 08/13  22:00:00,441239357.7156335,441239357.71563447,111677563.46349451,24954266.576836366,134031278.26953766 
 08/13  23:00:00,398184805.17962086,398184805.1796218,80454795.72011314,15645560.66407668,104912987.04695597 
 08/13  24:00:00,348097467.4981444,348097467.4981453,29404584.0,11656115.239317864,79472635.82437395 
 08/14  01:00:00,333421071.36831903,333421071.36831987,29404584.0,11656115.239317864,72776509.29434878 
 08/14  02:00:00,331461383.178946,331461383.1789467,29404584.0,11656115.239317864,69428446.02933633 
 08/14  03:00:00,326075332.36380243,326075332.3638033,29404584.0,11656115.239317864,67754414.39683005 
 08/14  04:00:00,327863401.2672094,327863401.26721025,29404584.0,16975375.727318894,71432354.39683005 
 08/14  05:00:00,350180150.0988775,350180150.09887826,29404584.0,26284081.875110786,87158392.55936149 
 08/14  06:00:00,324337809.3346138,324337809.3346147,155930754.9756818,27613896.938352972,120284500.51693058 
 08/14  07:00:00,435159082.20988,435159082.209881,223502189.55542722,26284081.875110786,146293383.9335011 
 08/14  08:00:00,399406600.54190034,399406600.54190135,220737112.81033683,18466671.234855436,149227177.34515285 
 08/14  09:00:00,380712651.198907,380712651.19890773,206085687.96598524,15807040.873338813,139867388.97765952 
 08/14  10:00:00,387971893.40957296,387971893.4095739,159820175.92610312,15807040.873338813,128503692.2426721 
 08/14  11:00:00,408005613.1350169,408005613.13501763,136788080.27296966,15807040.873338813,130177723.87517832 
 08/14  12:00:00,404036438.49490494,404036438.4949057,139086498.6934973,15590730.651414875,128385990.86668785 
 08/14  13:00:00,404685205.389112,404685205.3891128,110095488.11442366,15807040.873338813,123481597.34515285 
 08/14  14:00:00,399040529.3688538,399040529.3688546,82175334.12704998,15807040.873338813,121807565.71264665 
 08/14  15:00:00,411737178.4071939,411737178.4071948,110020381.22298338,19796486.53312959,126829660.61016576 
 08/14  16:00:00,471740894.29753387,471740894.2975348,139715790.64505383,29105192.44588942,161629800.20024115 
 08/14  17:00:00,528099869.9941632,528099869.9941593,146548945.20934486,35592787.787870474,204884491.0712216 
 08/14  18:00:00,534555157.2236544,534555157.22365046,213511923.89979196,44901493.93566237,204645835.6122203 
 08/14  19:00:00,521636596.64067936,521636596.64067537,180784008.35831916,51550569.72193773,185571734.18467608 
 08/14  20:00:00,527796316.51105815,527796316.5110543,177099337.92156357,51550569.72193773,178875607.65465096 
 08/14  21:00:00,490945671.0448117,490945671.0448126,142041212.1048966,38252418.149386905,164823601.124626 
 08/14  22:00:00,443518844.7170151,443518844.717016,111678408.39275485,24954266.576836366,134031278.26953766 
 08/14  23:00:00,396285400.8401097,396285400.84011054,80461680.14689946,15645560.66407668,104912987.04695597 
 08/14  24:00:00,348824822.37130225,348824822.3713031,29404584.0,11656115.239317864,79472635.82437395 
 08/15  01:00:00,335548297.5049913,335548297.5049921,29404584.0,11656115.239317864,72776509.29434878 
 08/15  02:00:00,331625322.1915461,331625322.1915469,29404584.0,11656115.239317864,69428446.02933633 
 08/15  03:00:00,322178289.19457126,322178289.19457215,29404584.0,11656115.239317864,67754414.39683005 
 08/15  04:00:00,334298352.7943367,334298352.79433763,29404584.0,16975375.727318894,71432354.39683005 
 08/15  05:00:00,368913075.97141504,368913075.97141576,29404584.0,26284081.875110786,87158392.55936149 
 08/15  06:00:00,373190450.60789156,373190450.60789245,155929887.01854736,27613896.938352972,120284500.51693058 
 08/15  07:00:00,371260514.7948431,371260514.79484385,223502245.5741817,26284081.875110786,146293383.9335011 
 08/15  08:00:00,367656357.87306,367656357.87306076,220735644.75447226,18466671.234855436,149227177.34515285 
 08/15  09:00:00,411976827.23023725,411976827.23023814,205137979.45563942,15807040.873338813,139867388.97765952 
 08/15  10:00:00,403503962.965616,403503962.9656169,159800157.12599382,15807040.873338813,128503692.2426721 
 08/15  11:00:00,420096510.0534743,420096510.05347514,137681214.72189128,15807040.873338813,130177723.87517832 
 08/15  12:00:00,422890698.6093285,422890698.60932946,139086719.68612435,15590730.651414875,128385990.86668785 
 08/15  13:00:00,423992828.69536006,423992828.69536096,110092257.4769032,15807040.873338813,123481597.34515285 
 08/15  14:00:00,414578813.8665652,414578813.8665662,82176369.47929671,15807040.873338813,121807565.71264665 
 08/15  15:00:00,420723527.7521926,420723527.75219345,110020877.97274917,19796486.53312959,126829660.61016576 
 08/15  16:00:00,473332872.51510537,473332872.51510656,139715842.369524,29105192.44588942,161629800.20024115 
 08/15  17:00:00,527998152.70012414,527998152.70012015,146547892.32826912,35592787.787870474,204884491.0712216 
 08/15  18:00:00,532816795.25781727,532816795.257813,213511301.9032985,44901493.93566237,204645835.6122203 
 08/15  19:00:00,521939734.7860922,521939734.78608835,180783304.38920927,51550569.72193773,185571734.18467608 
 08/15  20:00:00,529435330.9279301,529435330.9279262,177098981.54957032,51550569.72193773,178875607.65465096 
 08/15  21:00:00,491600732.4257322,491600732.42573315,142040631.54432455,38252418.149386905,164823601.124626 
 08/15  22:00:00,438962362.1045645,438962362.10456544,111678397.45975289,24954266.576836366,134031278.26953766 
 08/15  23:00:00,391292736.5981381,391292736.5981388,80465029.53363083,15645560.66407668,104912987.04695597 
 08/15  24:00:00,351948190.906114,351948190.90611494,29404584.0,11656115.239317864,79472635.82437395 
 08/16  01:00:00,337627177.2248994,337627177.22490025,29404584.0,11656115.239317864,72776509.29434878 
 08/16  02:00:00,324717680.68410325,324717680.6841041,29404584.0,11656115.239317864,69428446.02933633 
 08/16  03:00:00,315009981.387654,315009981.38765484,29404584.0,11656115.239317864,67754414.39683005 
 08/16  04:00:00,322002193.6784654,322002193.67846644,29404584.0,16975375.727318894,71432354.39683005 
 08/16  05:00:00,352899228.1913241,352899228.191325,29404584.0,26284081.875110786,87158392.55936149 
 08/16  06:00:00,391032707.73870385,391032707.73870486,155931197.96250197,27613896.938352972,120284500.51693058 
 08/16  07:00:00,405724224.5642266,405724224.5642276,223505019.72201595,26284081.875110786,146293383.9335011 
 08/16  08:00:00,401715197.92087746,401715197.9208785,220737605.78769046,18466671.234855436,149227177.34515285 
 08/16  09:00:00,396344440.6714016,396344440.67140245,204805278.8935446,15807040.873338813,139867388.97765952 
 08/16  10:00:00,400153106.6417547,400153106.64175564,159821656.12755427,15807040.873338813,128503692.2426721 
 08/16  11:00:00,412842732.3589848,412842732.3589858,137971434.4781683,15807040.873338813,130177723.87517832 
 08/16  12:00:00,406538780.2281365,406538780.2281373,139087464.47472864,15590730.651414875,128385990.86668785 
 08/16  13:00:00,404996715.72930396,404996715.72930485,110091856.10656539,15807040.873338813,123481597.34515285 
 08/16  14:00:00,402393194.1221958,402393194.12219656,82176838.16940466,15807040.873338813,121807565.71264665 
 08/16  15:00:00,415820355.24363387,415820355.24363494,110021401.97038543,19796486.53312959,126829660.61016576 
 08/16  16:00:00,465729554.8806678,465729554.8806688,139716544.1051077,29105192.44588942,161629800.20024115 
 08/16  17:00:00,512644950.53245825,512644950.5324544,146548782.57716048,35592787.787870474,204884491.0712216 
 08/16  18:00:00,527712874.9417968,527712874.9417929,213513238.4358722,44901493.93566237,204645835.6122203 
 08/16  19:00:00,517357600.74878144,517357600.7487773,180784800.62386513,51550569.72193773,185571734.18467608 
 08/16  20:00:00,517799919.2938602,517799919.29385626,177100303.47145674,51550569.72193773,178875607.65465096 
 08/16  21:00:00,481733500.3381498,481733500.33815074,142041414.99917084,38252418.149386905,164823601.124626 
 08/16  22:00:00,430346494.5817742,430346494.5817751,111678882.4939878,24954266.576836366,134031278.26953766 
 08/16  23:00:00,388760425.0764055,388760425.0764063,80464982.07728654,15645560.66407668,104912987.04695597 
 08/16  24:00:00,346201899.5465778,346201899.5465786,29404584.0,11656115.239317864,79472635.82437395 
 08/17  01:00:00,335249480.5266131,335249480.526614,29404584.0,11656115.239317864,72776509.29434878 
 08/17  02:00:00,335251402.82237387,335251402.82237464,29404584.0,11656115.239317864,69428446.02933633 
 08/17  03:00:00,322121877.49337035,322121877.49337107,29404584.0,11656115.239317864,67754414.39683005 
 08/17  04:00:00,324206673.7648102,324206673.764811,29404584.0,16975375.727318894,71432354.39683005 
 08/17  05:00:00,353998644.2230072,353998644.2230079,29404584.0,26284081.875110786,87158392.55936149 
 08/17  06:00:00,292814318.5530852,292814318.55308604,155934554.35481265,27613896.938352972,120284500.51693058 
 08/17  07:00:00,384075317.8345068,384075317.8345076,223510491.09394798,26284081.875110786,146293383.9335011 
 08/17  08:00:00,416604016.1467588,416604016.1467597,220742986.06622267,18466671.234855436,149227177.34515285 
 08/17  09:00:00,368552118.1842909,368552118.1842917,205077428.98468584,15807040.873338813,139867388.97765952 
 08/17  10:00:00,292210723.7183336,292210723.7183346,159884461.3045678,15807040.873338813,128503692.2426721 
 08/17  11:00:00,361662633.7766237,361662633.7766245,137668197.10381132,15807040.873338813,130177723.87517832 
 08/17  12:00:00,407165090.68042153,407165090.6804224,139088736.40476742,15590730.651414875,128385990.86668785 
 08/17  13:00:00,389471050.62243354,389471050.62243444,110094248.01224947,15807040.873338813,123481597.34515285 
 08/17  14:00:00,386124618.6823864,386124618.68238723,82176752.75253898,15807040.873338813,121807565.71264665 
 08/17  15:00:00,390628201.36959654,390628201.3695975,110021960.05628696,19796486.53312959,126829660.61016576 
 08/17  16:00:00,438281823.5464887,438281823.54648954,139717897.87645903,29105192.44588942,161629800.20024115 
 08/17  17:00:00,450600871.5570322,450600871.5570285,146551605.4808812,35592787.787870474,204884491.0712216 
 08/17  18:00:00,499478843.28440726,499478843.2844032,213517729.7286257,44901493.93566237,204645835.6122203 
 08/17  19:00:00,523358517.99696624,523358517.9969624,180788491.81502652,51550569.72193773,185571734.18467608 
 08/17  20:00:00,534934576.91039085,534934576.91038686,177103301.40068093,51550569.72193773,178875607.65465096 
 08/17  21:00:00,411367664.7993848,411367664.7993853,142043557.73017183,38252418.149386905,164823601.124626 
 08/17  22:00:00,448393116.6753155,448393116.6753163,111679864.32073025,24954266.576836366,134031278.26953766 
 08/17  23:00:00,382943045.7995086,382943045.7995094,80461573.66679555,15645560.66407668,104912987.04695597 
 08/17  24:00:00,334473790.2463218,334473790.2463227,29404584.0,11656115.239317864,79472635.82437395 
 08/18  01:00:00,319727962.1149633,319727962.1149641,29404584.0,11656115.239317864,72776509.29434878 
 08/18  02:00:00,311790512.3758148,311790512.37581575,29404584.0,11656115.239317864,69428446.02933633 
 08/18  03:00:00,303477247.7903563,303477247.7903571,29404584.0,11656115.239317864,67754414.39683005 
 08/18  04:00:00,312259743.66165155,312259743.66165245,29404584.0,16975375.727318894,71432354.39683005 
 08/18  05:00:00,344433446.2487862,344433446.248787,29404584.0,26284081.875110786,87158392.55936149 
 08/18  06:00:00,235294003.99062088,235294003.99062198,155939957.32589704,27613896.938352972,120284500.51693058 
 08/18  07:00:00,449037479.8291167,449037479.8291176,223518668.00295115,26284081.875110786,146293383.9335011 
 08/18  08:00:00,313355339.37700474,313355339.37700576,220751777.36962047,18466671.234855436,149227177.34515285 
 08/18  09:00:00,332305402.276241,332305402.2762419,205949302.11965162,15807040.873338813,139867388.97765952 
 08/18  10:00:00,319226636.0797154,319226636.0797163,159988411.79480138,15807040.873338813,128503692.2426721 
 08/18  11:00:00,296242470.21298325,296242470.2129842,136776512.944349,15807040.873338813,130177723.87517832 
 08/18  12:00:00,411262193.9249462,411262193.92494714,139090537.53813517,15590730.651414875,128385990.86668785 
 08/18  13:00:00,389748541.4289501,389748541.4289508,110099414.0908791,15807040.873338813,123481597.34515285 
 08/18  14:00:00,389714903.71558124,389714903.71558213,82176117.06118733,15807040.873338813,121807565.71264665 
 08/18  15:00:00,402754654.9674591,402754654.96746004,110022554.91083708,19796486.53312959,126829660.61016576 
 08/18  16:00:00,458958390.13746035,458958390.13746107,139719904.45493078,29105192.44588942,161629800.20024115 
 08/18  17:00:00,517745847.86762726,517745847.8676233,146556357.98283535,35592787.787870474,204884491.0712216 
 08/18  18:00:00,520441588.85327184,520441588.85326815,213523132.79489487,44901493.93566237,204645835.6122203 
 08/18  19:00:00,506164492.26243603,506164492.26243204,180794380.34016073,51550569.72193773,185571734.18467608 
 08/18  20:00:00,519315334.1952926,519315334.1952888,177107977.20638153,51550569.72193773,178875607.65465096 
 08/18  21:00:00,478899090.97026694,478899090.9702678,142047061.55534297,38252418.149386905,164823601.124626 
 08/18  22:00:00,420768245.8503047,420768245.8503055,111679893.1610356,24954266.576836366,134031278.26953766 
 08/18  23:00:00,370196836.8357012,370196836.83570206,80454733.12760574,15645560.66407668,104912987.04695597 
 08/18  24:00:00,322910341.4059962,322910341.4059969,29404584.0,11656115.239317864,79472635.82437395 
 08/19  01:00:00,307193847.2891722,307193847.2891731,29404584.0,11656115.239317864,72776509.29434878 
 08/19  02:00:00,299125093.7824237,299125093.78242457,29404584.0,11656115.239317864,69428446.02933633 
 08/19  03:00:00,293008082.38533247,293008082.3853333,29404584.0,11656115.239317864,67754414.39683005 
 08/19  04:00:00,299968845.5657347,299968845.5657356,29404584.0,16975375.727318894,71432354.39683005 
 08/19  05:00:00,327892272.0512769,327892272.05127776,29404584.0,26284081.875110786,87158392.55936149 
 08/19  06:00:00,229788049.03829813,229788049.03829908,155947685.78688604,27613896.938352972,120284500.51693058 
 08/19  07:00:00,410414314.04844946,410414314.0484503,223529592.699824,26284081.875110786,146054728.47449982 
 08/19  08:00:00,410249420.7887382,410249420.7887391,220763975.48044306,16975375.727318894,147728760.107006 
 08/19  09:00:00,394423003.6706787,394423003.6706797,207417965.2447731,14315745.365802372,138368971.73951268 
 08/19  10:00:00,396749403.7230313,396749403.72303224,160133384.71482754,14315745.365802372,127005275.00452524 
 08/19  11:00:00,410885777.86199737,410885777.8619983,135299548.24907026,14315745.365802372,128679306.63703147 
 08/19  12:00:00,411453524.7906575,411453524.7906584,139092869.542192,14315745.365802372,127005275.00452524 
 08/19  13:00:00,404759395.6811575,404759395.6811584,110107281.78032264,14315745.365802372,121983180.10700601 
 08/19  14:00:00,412167687.34267235,412167687.3426733,82174926.70879799,14315745.365802372,120309148.4744998 
 08/19  15:00:00,423367348.6127818,423367348.6127826,110023185.23663756,18305191.025593143,125331243.3720189 
 08/19  16:00:00,465434441.09589314,465434441.0958941,139722564.71703672,27613896.938352972,160131382.9620943 
 08/19  17:00:00,520414102.476933,520414102.47692895,146563040.50516957,35592787.787870474,204645835.6122203 
 08/19  18:00:00,531018367.78096294,531018367.78095883,213529716.9712673,44901493.93566237,204645835.6122203 
 08/19  19:00:00,522658357.8885494,522658357.8885454,180802470.7693437,51550569.72193773,185571734.18467608 
 08/19  20:00:00,528287649.4323526,528287649.4323487,177110909.24309337,51550569.72193773,178875607.65465096 
 08/19  21:00:00,490690686.03961563,490690686.03961647,142051936.21001709,38252418.149386905,164823601.124626 
 08/19  22:00:00,438564497.4122877,438564497.4122885,111680430.13313058,24954266.576836366,134031278.26953766 
 08/19  23:00:00,390954860.2485704,390954860.2485712,80444324.97620758,15645560.66407668,104912987.04695597 
 08/19  24:00:00,342669046.90195644,342669046.9019574,29404584.0,11656115.239317864,79472635.82437395 
 08/20  01:00:00,329989691.2106041,329989691.2106047,29404584.0,11656115.239317864,72776509.29434878 
 08/20  02:00:00,321777744.4525217,321777744.4525226,29404584.0,11656115.239317864,69428446.02933633 
 08/20  03:00:00,310274549.3623452,310274549.3623461,29404584.0,11656115.239317864,67754414.39683005 
